"ensembl_gene_id","ensembl_gene_id_hg38","gene_name_hg19","gene_name_local","gene_name_hg38","mismatch_hg19","mismatch_ensembl","entrezgene_ids","refseq_status","refseq_hardcoded","ensembl_transcript_hardcoded"
"ENSG00000182150","ENSG00000182150","ERCC6L2","ERCC6L2","ERCC6L2","FALSE","FALSE","375748:101928170",,,
"ENSG00000182326","ENSG00000182326","C1S","C1S","C1S","FALSE","FALSE",716,,,
"ENSG00000182500","ENSG00000276045","ORAI1","ORAI1","ORAI1","FALSE","TRUE",84876,,,
"ENSG00000182866","ENSG00000182866","LCK","LCK","LCK","FALSE","FALSE",3932,,,
"ENSG00000183918","ENSG00000183918","SH2D1A","SH2D1A","SH2D1A","FALSE","FALSE",4068,,,
"ENSG00000184584","ENSG00000184584","TMEM173","STING1","STING1","TRUE","FALSE",340061,,,
"ENSG00000184979","ENSG00000184979","USP18","USP18","USP18","FALSE","FALSE",11274,,,
"ENSG00000185115","ENSG00000185115","NDNL2","NSMCE3","NSMCE3","TRUE","FALSE",56160,,,
"ENSG00000185339","ENSG00000185339","TCN2","TCN2","TCN2","FALSE","FALSE",6948,,,
"ENSG00000185811","ENSG00000185811","IKZF1","IKZF1","IKZF1","FALSE","FALSE",10320,,,
"ENSG00000186827","ENSG00000186827","TNFRSF4","TNFRSF4","TNFRSF4","FALSE","FALSE",7293,,,
"ENSG00000187608","ENSG00000187608","ISG15","ISG15","ISG15","FALSE","FALSE",9636,,,
"ENSG00000187736","ENSG00000187736","NHEJ1","NHEJ1","NHEJ1","FALSE","FALSE",79840,,,
"ENSG00000187796","ENSG00000187796","CARD9","CARD9","CARD9","FALSE","FALSE","64170:728489",,,
"ENSG00000196588","ENSG00000196588","MKL1","MRTFA","MRTFA","TRUE","FALSE",57591,,,
"ENSG00000196839","ENSG00000196839","ADA","ADA","ADA","FALSE","FALSE",100,,,
"ENSG00000197299","ENSG00000197299","BLM","BLM","BLM","FALSE","FALSE",641,,,
"ENSG00000197535","ENSG00000197535","MYO5A","MYO5A","MYO5A","FALSE","FALSE",4644,,,
"ENSG00000197766","ENSG00000197766","CFD","CFD","CFD","FALSE","FALSE",1675,,,
"ENSG00000197943","ENSG00000197943","PLCG2","PLCG2","PLCG2","FALSE","FALSE",5336,,,
"ENSG00000198001","ENSG00000198001","IRAK4","IRAK4","IRAK4","FALSE","FALSE",51135,,,
"ENSG00000198246","ENSG00000198246","SLC29A3","SLC29A3","SLC29A3","FALSE","FALSE",55315,,,
"ENSG00000198286","ENSG00000198286","CARD11","CARD11","CARD11","FALSE","FALSE",84433,,,
"ENSG00000198589","ENSG00000198589","LRBA","LRBA","LRBA","FALSE","FALSE",987,,,
"ENSG00000198677","ENSG00000198677","TTC37","TTC37","SKIC3","TRUE","FALSE",9652,,,
"ENSG00000198805","ENSG00000198805","PNP","PNP","PNP","FALSE","FALSE",4860,,,
"ENSG00000198821","ENSG00000198821","CD247","CD247","CD247","FALSE","FALSE",919,,,
"ENSG00000198851","ENSG00000198851","CD3E","CD3E","CD3E","FALSE","FALSE",916,,,
"ENSG00000204264","ENSG00000204264","PSMB8","PSMB8","PSMB8","FALSE","FALSE",5696,,,
"ENSG00000204267","ENSG00000204267","TAP2","TAP2","TAP2","FALSE","FALSE",6891,,,
"ENSG00000205403","ENSG00000205403","CFI","CFI","CFI","FALSE","FALSE",3426,,,
"ENSG00000211899","ENSG00000211899","IGHM","IGHM","IGHM","FALSE","FALSE","NA","NOREFSEQ",,
"ENSG00000213281","ENSG00000213281","NRAS","NRAS","NRAS","FALSE","FALSE",4893,,,
